,ID,Origin,Composition,Enthalpy (eV),Volume (A^3),SYMMETRY (N),Structure order,Average order,Quasientropy
39,47,Heredity,C:8,-1237.050,63.230,C2/c(15),1.906,1.972,0.037
40,29,Heredity,C:8,-1236.240,54.665,C2/m(12),1.717,1.921,0.103
41,30,Heredity,C:8,-1236.098,50.659,Pmm2(25),1.952,2.237,0.126
42,76,RandTop,C:8,-1236.083,83.845,P4/mmm(123),2.633,2.633,0.000
43,133,Heredity,C:8,-1236.062,81.837,P-1(2),2.364,2.379,0.007
44,21,Heredity,C:8,-1236.053,48.640,P-1(2),1.513,1.732,0.122
45,189,RandTop,C:8,-1236.038,81.013,P2/m(10),2.306,2.330,0.011
46,75,RandTop,C:8,-1235.923,89.040,I4/mmm(139),2.675,2.675,0.000
47,187,Heredity,C:8,-1235.504,97.126,Pc(7),1.899,2.618,0.198
48,43,Heredity,C:8,-1235.254,60.759,Cm(8),1.522,1.698,0.103
49,111,Heredity,C:8,-1235.246,75.202,Cm(8),1.929,2.433,0.183
50,213,RandTop,C:8,-1235.197,58.384,C2/m(12),1.599,1.880,0.134
51,134,Heredity,C:8,-1235.129,89.058,C2/m(12),2.657,2.796,0.055
52,178,Heredity,C:8,-1235.097,78.789,Amm2(38),2.226,2.620,0.137
53,120,Heredity,C:8,-1234.754,96.657,P-6m2(187),3.509,3.600,0.027
54,46,Heredity,C:8,-1234.464,60.524,P1(1),1.669,1.886,0.119
55,10,RandTop,C:8,-1234.446,89.678,P2/m(10),1.899,2.391,0.173
56,12,Softmodemutation,C:8,-1234.429,55.454,P4_2/mmc(131),2.569,2.569,0.000
57,53,Heredity,C:8,-1234.337,63.360,P-1(2),1.876,2.108,0.110
58,66,Heredity,C:8,-1234.317,73.537,Cmcm(63),2.475,2.764,0.103
59,69,Heredity,C:8,-1234.291,64.045,Pmm2(25),1.947,2.390,0.161
60,205,Heredity,C:8,-1234.210,74.710,Pm(6),1.743,2.305,0.201
61,158,Heredity,C:8,-1234.172,75.335,Pm(6),1.729,2.267,0.197
62,19,Softmodemutation,C:8,-1234.144,59.613,P2_1/m(11),1.917,2.258,0.146
63,32,RandTop,C:8,-1233.917,92.793,P2/m(10),2.299,2.466,0.067
64,17,Softmodemutation,C:8,-1233.896,87.183,Cmmm(65),2.321,2.509,0.074
65,86,Heredity,C:8,-1233.281,99.573,P2(3),2.155,2.960,0.205
66,114,Heredity,C:8,-1233.075,124.321,Amm2(38),2.742,3.416,0.176
67,113,Heredity,C:8,-1232.782,93.824,Pmm2(25),2.559,2.966,0.129
68,50,Heredity,C:8,-1232.476,83.272,P-1(2),1.942,2.190,0.112
69,74,Heredity,C:8,-1232.473,130.502,C2/m(12),3.061,3.061,0.000
70,9,RandTop,C:8,-1232.246,57.435,C2(5),1.670,1.886,0.115
71,73,Heredity,C:8,-1232.216,83.982,Pmm2(25),1.708,2.222,0.195
72,25,Heredity,C:8,-1232.124,54.186,P1(1),1.297,1.749,0.214
73,185,Heredity,C:8,-1232.069,70.472,P2_1/m(11),1.946,2.388,0.157
74,159,Heredity,C:8,-1231.832,113.531,P-1(2),2.203,2.568,0.122
75,7,RandTop,C:8,-1230.744,88.162,P6/mmm(191),3.335,3.339,0.002
76,65,Heredity,C:8,-1230.439,70.943,P2(3),1.510,1.888,0.173
77,3,RandTop,C:8,-1225.061,74.195,Cmcm(63),2.428,2.428,0.000
